Estacion    plA    plB    plC    plD    dcaudal
3    190    208    186    127    137.5
2    169    180    172    180    113.2
4    205    196    126    200    139.4
4    95    313    180    190    73.8
2    170    187    136    240    93.7
3    205    314    95    180    168.1
4    170    220    135    220    91.6
1    134    103    190    430    70.6
3    200    185    160    200    174.3
4    165    153    595    80    112.7
3    170    144    170    290    143.3
4    370    140    205    115    222.0
4    72    133    310    420    48.9
1    215    256    220    105    106.1
1    125    223    100    460    63.9
3    250    225    260    90    226.3
4    200    170    166    235    145.6
2    195    203    190    200    112.0
2    320    304    90    180    160.4
1    10    640    1040    240    4.7
4    250    516    98    130    174.5
1    95    170    340    300    50.6
1    100    165    315    370    47.6
2    195    144    410    170    121.8
4    200    552    85    210    143.9
1    230    302    88    330    114.5
3    90    174    460    285    81.1
1    490    320    66    200    245.4
4    110    253    224    335    92.9
1    175    280    240    185    100.1
2    245    158    180    340    169.4
1    95    324    150    560    43.6
2    200    240    246    220    116.7
4    165    220    60    1220    118.8
4    77    253    300    480    45.0
2    232    237    240    220    152.8
4    195    150    410    245    128.9
1    420    427    40    420    186.8
1    93    204    218    730    45.9
1    215    230    270    230    105.9
2    360    260    60    550    232.7
1    145    225    250    380    77.7
4    95    167    365    580    67.6
2    133    250    280    390    80.8
3    305    276    212    210    243.1
4    195    223    350    260    139.3
4    100    185    715    300    83.3
3    385    517    42    510    330.5
1    440    426    380    60    209.9
1    310    165    275    305    142.9
1    397    374    133    220    219.3
4    212    457    35    1300    134.2
4    180    152    390    415    131.3
2    250    405    125    350    138.0
4    313    480    126    235    211.3
1    120    183    600    350    57.0
1    480    506    185    110    264.7
1    105    278    480    370    52.0
4    610    374    60    440    423.2
2    205    270    310    433    126.5
4    340    327    280    245    232.8
4    350    406    190    300    255.7
1    130    417    280    540    79.7
4    85    146    1120    600    62.5
1    100    190    600    750    54.4
4    175    320    510    340    127.3
1    203    254    471    400    98.4
2    465    800    30    880    245.2
4    300    403    135    750    226.6
2    442    630    226    200    295.2
4    155    548    250    600    92.8
4    400    634    120    420    295.0
2    205    216    418    700    120.6
4    320    305    450    320    225.3
4    240    387    350    440    158.8
4    265    245    405    560    196.0
4    125    213    1540    400    83.6
4    440    340    510    220    310.1
3    350    456    330    330    277.8
2    115    547    440    670    74.8
2    313    382    250    630    169.5
1    180    760    120    1365    90.0
2    385    423    425    345    219.3
4    580    573    160    470    428.5
4    265    434    360    680    163.7
4    325    766    410    320    202.2
1    345    302    356    1092    179.0
1    290    467    310    1140    165.8
1    440    320    490    700    201.4
1    543    422    283    770    270.5
2    555    724    300    450    342.8
2    500    514    480    480    316.0
4    290    324    665    1080    227.2
1    120    660    940    970    66.5
1    147    450    692    1600    69.1
2    164    1040    500    950    91.2
2    420    746    387    670    301.7
1    540    800    400    500    267.0
4    260    532    515    1290    169.9
1    280    430    634    1290    144.4
1    280    622    540    1100    117.4
2    360    524    700    880    212.0
2    120    415    1700    1480    63.8
2    585    976    278    800    349.7
4    305    522    570    1410    221.1
2    220    823    671    1200    153.8
4    445    424    720    1110    363.7
1    470    523    710    1300    242.0
4    1030    1603    215    750    756.0
2    435    840    970    1950    245.1
1    880    786    734    1400    427.2
4    555    815    920    1780    373.1
4    690    1044    900    1430    472.5
4    870    1365    690    1750    572.5
